Date,Price,Return,Cumulative Return
2021-01-01,$1.51,0.0,0.0%
2021-02-01,$4.27,181.9,181.9%
2021-03-01,$13.06,206.1,762.9%
2021-04-01,$19.44,48.8,1183.99%
2021-05-01,$42.97,121.1,2738.9%
2021-06-01,$32.72,-23.8,2063.24%
2021-07-01,$35.54,8.6,2249.28%
2021-08-01,$36.71,3.3,2326.81%
2021-09-01,$152.55,315.6,9985.81%
2021-10-01,$141.37,-7.3,9249.54%
2021-11-01,$202.57,43.3,13297.9%
2021-12-01,$208.49,2.9,13686.44%
2022-01-01,$169.99,-18.5,11135.95%
2022-02-01,$99.52,-41.5,6473.03%
2022-03-01,$99.71,0.2,6486.17%
2022-04-01,$122.86,23.2,8014.17%
2022-05-01,$84.77,-31.0,5498.78%
2022-06-01,$45.72,-46.1,2917.74%
2022-07-01,$33.74,-26.2,2127.09%
2022-08-01,$42.37,25.6,2697.23%
2022-09-01,$31.51,-25.6,1981.14%
2022-10-01,$33.25,5.5,2095.6%
2022-11-01,$32.56,-2.1,2049.49%
2022-12-01,$14.14,-56.6,832.88%
2023-01-01,$9.96,-29.6,556.75%
2023-02-01,$23.92,140.3,1478.16%
2023-03-01,$21.88,-8.5,1344.02%
2023-04-01,$21.17,-3.3,1296.37%
2023-05-01,$22.74,7.4,1399.7%
2023-06-01,$20.82,-8.4,1273.72%
2023-07-01,$18.86,-9.4,1144.59%
2023-08-01,$23.72,25.8,1465.7%
2023-09-01,$19.74,-16.8,1202.66%
2023-10-01,$21.36,8.2,1309.48%
2023-11-01,$38.40,79.7,2432.83%
2023-12-01,$59.20,54.2,3805.63%
2024-01-01,$101.59,71.6,6602.06%
2024-02-01,$97.04,-4.5,6300.47%
2024-03-01,$125.62,29.5,8188.61%
2024-04-01,$202.51,61.2,13261.24%
2024-05-01,$126.74,-37.4,8264.14%
2024-06-01,$165.58,30.6,10823.56%
2024-07-01,$146.55,-11.5,9567.35%
2024-08-01,$171.68,17.1,11220.47%
2024-09-01,$135.34,-21.2,8820.53%
2024-10-01,$152.62,12.8,9962.36%
2024-11-01,$168.76,10.6,11028.97%
2024-12-01,$237.60,40.8,15569.58%
2025-01-01,$189.50,-20.2,12404.33%
2025-02-01,$231.75,22.3,15192.79%
2025-03-01,$147.79,-36.2,9656.8%
2025-04-01,$124.46,-15.8,8115.23%
